whole_text,mentions_tesla,is_reply,is_quote,is_retweet,positive,negative,neutral,close_delta_z,volume_delta_z,price_cv,volume_cv,close_t1_z,volume_t1_z,close_t2_z,volume_t2_z,close_t3_z,volume_t3_z,close_t4_z,volume_t4_z,close_t5_z,volume_t5_z
"“I used to be in crypto, but now I got interested in AI""",0,0,0,0,0.2201,0.0151,0.7648,-1.816,2.493,0.001,0.267,-2.606,0.087,-2.217,0.182,-1.563,-0.902,-2.726,-0.656,-4.715,2.482
"Stage 1 to stage 2 mass ratio is too high on Falcon 9, necessitating a long entry burn. This is fixed on Starship.",0,1,0,0,0.0225,0.5992,0.3783,-1.17,1.073,0.001,0.187,2.898,2.82,2.805,2.454,1.889,0.071,0.831,0.58,1.296,-0.091
This platform is so brittle (sigh). Will be fixed shortly.,0,1,0,0,0.0083,0.9219,0.0698,1.129,1.729,0.0,0.551,0.147,-1.017,-3.871,0.476,-4.243,-0.364,-0.656,-0.164,-1.152,-0.495
Any account engaging in blackmail will be suspended. Yours will not.,0,1,0,0,0.0121,0.7593,0.2286,1.814,0.01,0.0,0.192,0.268,-0.681,-3.565,7.866,-1.582,1.993,-6.286,4.117,-7.931,10.698
A small API change had massive ramifications. The code stack is extremely brittle for no good reason. Will ultimately need a complete rewrite.,0,1,0,0,0.0078,0.9079,0.0843,0.774,-0.511,0.0,0.163,8.104,4.929,6.38,0.289,5.216,0.524,6.487,0.824,5.139,-2.043
"Yup, they can dish it out, but they can’t take it",0,1,0,0,0.0286,0.6249,0.3466,0.639,-0.844,0.0,0.358,-3.979,-0.872,-5.143,-0.589,-8.186,0.309,-6.908,0.112,-7.122,-1.021
"If what they want are pretty pics & heart emoji’s, I recommend Instagram. It’s great for that, please go there. Instagram reminds me of Cloud Cuckoo Land. Everything seems super nice on the surface, but it’s actually hell.",0,1,0,0,0.7349,0.1029,0.1622,-0.759,-0.735,0.0,0.18,-2.73,0.216,-2.995,-1.502,-4.593,-0.504,-3.688,-0.024,-6.192,1.409
: Today's cover: Jan. 6 footage shows Capitol cops escorting QAnon Shaman to Senate floor,0,0,0,1,0.0275,0.0207,0.9519,-0.904,-2.624,0.0,0.23,6.581,1.987,4.221,1.349,1.801,0.349,0.337,-0.697,-1.156,0.129
: Footage shows Capitol cop Brian Sicknick uninjured on Jan. 6,0,0,0,1,0.038,0.038,0.924,-1.962,-0.851,0.001,0.206,4.116,4.712,2.707,2.272,3.574,-1.2,2.498,-1.732,2.886,-1.935
"He has a prominent, active Twitter account and is wealthy. The reason he confronted me in public was to get a big payout. From what I’ve been told, he’s done almost no work for the past four months, middle-management or otherwise. Despite his claims on Twitter that he did…",0,0,0,0,0.0722,0.3263,0.6015,-0.695,-1.303,0.0,0.154,7.377,4.631,1.857,1.163,0.972,0.108,0.048,0.071,2.54,-1.189
So many guys who got MeToo’ed went woke for the moral cloak,0,1,0,0,0.039,0.4378,0.5232,1.138,1.605,0.001,0.265,3.337,-0.441,1.943,-1.245,5.145,-0.319,6.351,0.064,5.688,-1.49
"This pervasive cultural pessimism is at the heart of societal dysfunction. Better to be optimistic and wrong, than pessimistic and right!",0,1,0,0,0.0109,0.8856,0.1036,-2.561,1.546,0.001,0.145,-3.009,3.763,-4.238,1.176,-5.11,6.526,-4.793,0.728,-9.87,11.494
Makes sense that Batman would take bat insults rather personally. He loves bats next-level.,0,1,0,0,0.3104,0.094,0.5956,-1.73,-2.359,0.001,0.364,3.631,0.094,3.48,-0.453,-0.044,0.352,0.952,0.754,-2.797,0.268
1. TWITTER FILES: Statement to Congress THE CENSORSHIP-INDUSTRIAL COMPLEX Concerning,0,0,1,0,0.0231,0.0478,0.9291,-2.384,2.416,0.004,0.796,-1.873,0.16,-1.536,-0.428,-1.183,-0.308,-1.918,-0.423,-1.779,-0.38
Stanford is damaging its name by allowing its use by the SIO propaganda machine,0,1,0,0,0.0061,0.8738,0.1201,2.394,0.564,0.001,0.232,0.001,-1.038,2.056,3.15,1.301,-0.033,2.307,-0.383,3.284,2.814
"Fight for truth, whole truth & nothin but! The intent is for this site to be fair & impartial, favoring no party, seeking only the least wrong truth.",0,0,1,0,0.237,0.1746,0.5884,-2.554,1.721,0.002,0.163,-1.302,0.374,-2.688,-0.024,-1.989,-2.251,-2.299,-2.348,-2.842,-2.082
"NEW: Hundreds of Stanford students lined the halls yesterday to protest the law school’s dean, Jenny Martinez, for apologizing to Kyle Duncan, the judge shouted down last week. The students effectively subjected Martinez to an intimidating walk of shame.🧵 Parents don’t realize the Soviet level of indoctrination that their children are receiving in elite high schools & colleges!",0,0,1,0,0.0058,0.8582,0.136,-0.711,-2.293,0.001,0.17,0.154,-0.56,-0.327,0.449,1.553,-0.104,1.659,1.221,0.934,1.073
"I’m still confused as to how a non-profit to which I donated ~$100M somehow became a $30B market cap for-profit. If this is legal, why doesn’t everyone do it?",0,0,0,0,0.0273,0.6019,0.3708,-0.574,-1.058,0.001,0.308,-0.421,0.423,-1.665,1.085,-2.884,1.342,-3.912,0.123,-4.497,-0.032
Starlink now offers a global roaming option for customers traveling to locations where connectivity has been unreliable or completely unavailable → Starlink now offers global roaming,0,0,1,0,0.0654,0.0326,0.902,2.302,2.035,0.002,0.294,1.449,2.629,1.554,0.687,1.99,-0.021,2.147,-0.663,1.833,-0.345
It’s kinda flattering to be insulted on this site tbh,0,0,0,0,0.1333,0.5518,0.3149,1.354,-0.087,0.001,0.207,1.552,-0.085,2.022,0.508,1.153,0.36,1.946,-0.529,4.4,1.064
Larger vocabulary means better data compression – fewer words needed to express concepts – so higher data rate,0,1,0,0,0.5522,0.0295,0.4183,-1.967,1.568,0.002,0.372,-1.015,-0.24,-0.611,9.695,-0.372,-0.395,-0.212,-0.73,-0.706,-0.968
Your opinion of the US govt is (not unreasonably) negatively affected by a comically over-the-top swatting op,0,1,0,0,0.0142,0.7776,0.2082,-0.196,-2.434,0.0,0.082,-3.515,-1.103,-1.751,-3.044,-1.946,-6.495,-0.444,-3.124,-1.685,-4.822
"While of course stressful at the time, your response video was epic 🤣",0,1,0,0,0.8997,0.022,0.0783,-2.183,0.472,0.001,0.414,-1.508,-0.306,-3.665,2.084,-3.327,0.066,-4.575,1.992,-5.213,1.428
If other party is always wrong And your party is always right You are at least partly wrong,0,0,0,0,0.0352,0.4563,0.5084,-0.494,0.395,0.001,0.245,2.293,-0.619,1.597,-0.44,2.015,-2.082,0.98,0.441,1.417,-1.816
"Best way to fight misinformation is to respond with accurate information, not censorship",0,0,0,0,0.1608,0.1981,0.641,0.017,1.778,0.0,0.285,-4.373,0.622,-5.082,0.859,-3.685,-0.559,-2.404,1.16,-2.288,0.307
"It’s exciting to see more & more public figures engaging in active dialogue on this platform! Sure, people will say foolish things from time to time (myself especially), but that’s way better than silence or sanitized “press releases” that’re basically just boring propaganda.",0,0,0,0,0.854,0.0243,0.1217,1.709,-0.477,0.001,0.165,1.126,-0.034,-0.384,-1.581,-2.04,3.447,1.24,0.965,1.909,2.992
"Provided there is no serious launch anomaly, SpaceX will deliver 80% of Earth’s payload to orbit this year. Not counting Starship.",0,1,0,0,0.3492,0.0179,0.6329,0.844,-0.839,0.0,0.465,0.061,0.242,-5.483,2.927,-9.701,0.83,-12.413,1.479,-10.523,1.295
There appears to be zero self-awareness among legacy media that they behave like an NPC drone collective 🤣🤣,0,1,0,0,0.008,0.8975,0.0944,0.792,0.504,0.001,0.3,2.251,-0.205,2.738,-0.673,2.805,-1.457,1.933,-0.369,3.634,0.6
Hard to explain the veto if a Dem Senate voted for the bill,0,1,0,0,0.0277,0.374,0.5984,-2.39,-1.274,0.0,0.137,-0.764,-1.942,0.126,-2.854,0.57,-2.359,-0.43,0.705,-4.321,6.021
Is it accurate to refer to those making the proposal as “extreme MAGA” ?,0,1,0,0,0.0351,0.2207,0.7442,-2.333,0.559,0.002,0.289,-1.596,-1.911,-1.53,-1.713,-0.846,-1.429,-1.041,-1.812,-1.4,-1.75
"No, descriptions should be accurate. If only a small segment of the right or left is pushing something, then it wouldn’t be correct to paint all of the left or right with that viewpoint.",0,0,0,0,0.0217,0.3837,0.5946,-2.213,1.475,0.001,0.292,-0.97,-0.689,-1.745,-1.114,-1.067,0.143,-2.024,-0.989,-1.842,-0.24
"Forgot to mention that accounts you follow directly will also be in For You, since you have explicitly asked for them",0,0,0,0,0.0519,0.0629,0.8852,2.068,-0.285,0.001,0.223,2.03,1.877,1.091,-1.065,2.199,0.63,1.83,-0.563,0.682,0.251
"Leading AGI developers will not heed this warning, but at least it was said",0,1,0,0,0.0321,0.6204,0.3474,-2.593,2.508,0.002,0.424,-1.244,-1.164,-1.682,0.198,-2.006,0.502,-1.823,0.59,-1.335,-0.101
"Given that there are ~500 million tweets per day, making individual human review impossible, this is the most salient point. One possible mitigation is a shorter suspension of 6 hours instead of 12.",0,1,0,0,0.0346,0.4375,0.5278,-0.117,-1.441,0.0,0.214,-1.4,1.177,-0.045,-0.469,0.242,0.212,-1.207,-0.841,2.987,1.815
AI optimizing for the greatest understanding of the universe might be the right objective. Eliminating or stunting human civilization would reduce understanding.,0,1,0,0,0.1775,0.1865,0.6361,-1.834,-0.48,0.001,0.343,-2.111,-1.143,-1.28,-0.177,-0.104,-0.196,-0.439,-1.349,-1.627,-0.645
It will matter if we extend consciousness to the stars,0,1,0,0,0.4205,0.0154,0.5641,-0.179,1.345,0.001,0.266,0.048,-0.24,0.048,-0.809,0.206,-1.989,2.199,2.181,3.555,2.515
"Today marks a new era of transparency for Twitter. 🧵 We’re sharing much of the source code that powers our platform with the world. Visit our blog to learn more about this initiative: Most of the recommendation algorithm will be made open source today. The rest will follow. Acid test is that independent third parties should be able to determine, with reasonable accuracy, what will probably be shown to users. No doubt, many embarrassing issues will be",0,0,1,0,0.7333,0.0043,0.2623,-2.599,0.721,0.001,0.213,-1.375,-1.859,0.634,1.543,1.453,1.482,-0.004,0.896,-0.402,-1.317
"Tesla will continue to use outside litigators, but it’s important to build a powerful litigation team internally, so that we’re not always on the defensive. We’ll also go after the Wall St short-sellers, certain law firms & (sometimes) corrupt regulators who are the true evil.",1,1,0,0,0.1032,0.2457,0.6511,-0.877,0.509,0.001,0.163,-0.448,-1.128,-0.058,-1.895,1.015,-1.205,0.7,-2.878,-2.008,2.956
"To avoid losing the trust of the American public, it is important that our justice system pursue Democrats and Republicans with equal vigor. Whichever party most puts justice before nepotism is the one that deserves trust.",0,1,0,0,0.4233,0.0414,0.5354,2.739,0.922,0.001,0.143,-0.155,-0.29,-0.905,1.021,-1.108,-0.716,-0.939,-0.785,1.002,2.314
"The rules are consistent. Even though I think you’re awful and I consider Billy Markus to be a friend, he still had to delete his post or be suspended.",0,1,0,0,0.0079,0.8598,0.1322,2.344,2.431,0.001,0.485,1.709,-0.346,2.581,0.064,3.601,2.259,3.828,1.772,4.194,0.815
What is surprising is that so few people realize this. Individuals should always wonder who wrote the software running in their head. Don’t be an NPC.,0,1,0,0,0.0152,0.687,0.2978,-2.239,-0.925,0.001,0.34,-1.365,0.106,-2.326,2.285,-2.155,-0.39,-1.367,-0.681,-0.234,0.09
Almost all major organizations are in process of rolling out affiliate badges. This is very important for protecting users against sophisticated impersonation scams.,0,1,0,0,0.5619,0.0193,0.4188,1.134,-1.64,0.0,0.216,3.659,0.907,5.51,0.039,5.394,1.801,1.114,1.049,1.579,-1.011
"The underlying principle: if you don’t like reality, just ignore it!",0,1,0,0,0.025,0.6403,0.3348,1.158,2.108,0.002,0.377,2.726,0.823,2.256,-0.189,1.415,-0.131,1.449,-0.667,0.373,-0.239
What if we create a “Help-a-Celebrity” fund to pay the $7?,0,0,0,0,0.0709,0.0498,0.8793,-2.061,1.263,0.001,0.261,-1.442,-0.117,-0.568,0.127,-1.175,-0.904,-1.834,0.264,-2.135,-1.112
"If that were actually true, “the rich” of 100 years ago would have all the money today, but they do not",0,1,0,0,0.0878,0.4842,0.428,0.494,0.901,0.001,0.282,4.958,2.049,7.175,3.001,6.517,0.596,6.294,-0.106,6.968,0.103
We’re working on Burnt Hair. Has to be just right.,0,1,0,0,0.567,0.0243,0.4087,1.789,-0.028,0.001,0.214,1.905,-0.575,2.068,-0.333,3.542,1.988,4.07,0.178,4.126,-0.479
"That is true for some, but for many it was simply because they had a buddy at Twitter or were a Mashable intern 10 years ago or they outright bought it",0,0,0,0,0.1315,0.1,0.7685,2.055,0.091,0.001,0.221,0.448,0.547,0.035,-1.366,0.498,-2.02,0.035,-0.746,-0.53,-1.074
"On the Internet, I’m only 3 inches tall (best case)",0,0,0,0,0.2502,0.0575,0.6923,-1.805,-0.613,0.0,0.187,-1.562,-1.753,-1.788,-1.663,-2.183,-2.061,-4.608,0.107,-5.306,-1.384
"Tbh, I’m just hoping a media org that takes itself way too seriously writes a story about Harry Bōlz …",0,0,0,0,0.0129,0.7957,0.1914,-1.711,1.21,0.001,0.292,-1.483,1.37,-0.037,1.791,0.266,0.6,1.254,-0.272,1.254,0.023
: Falcon Heavy in the hangar at Launch Complex 39A,0,0,0,1,0.1244,0.0086,0.867,1.765,1.744,0.001,0.421,2.385,0.002,2.724,-0.238,3.979,2.323,4.606,1.112,4.454,-0.147
"It’s super easy to get Fentanyl *right now*. People buy it in open air drug markets in SF and take it right in front of you in broad daylight! They don’t even try to hide. I see this almost every time I drive to Twitter. Just as with alcohol prohibition, people didn’t actually",0,1,0,0,0.0811,0.558,0.3609,1.866,2.591,0.0,0.348,-7.829,2.861,-6.844,-0.205,-5.365,-0.746,-5.367,-1.476,-4.137,-0.566
So inspiring to see that they have their priorities right,0,1,0,0,0.9654,0.005,0.0296,2.641,-1.882,0.0,0.332,-0.324,0.178,-1.264,-0.796,-2.504,0.522,-4.548,0.749,-5.468,0.278
WATCH: The moment confronts reporter for not being able to provide a single example of hate speech he has witnessed on Twitter. - Elon also points out the BBC’s double standards regarding Covid misinformation. This time with video & better audio,0,0,1,0,0.0191,0.584,0.3968,-0.206,-2.452,0.0,0.409,7.313,-0.21,6.839,-0.954,7.788,-0.796,9.078,-0.082,9.21,-0.476
"This will make some people upset, but I need to emphasize that accelerating synthetic mRNA technology was another silver lining. It is a revolution in medicine, like going from analog to digital. The Covid mRNA vaccine dosage level was too high and having a zillion booster shots",0,1,0,0,0.4796,0.125,0.3954,-0.596,0.47,0.0,0.225,1.368,-0.624,-1.395,-1.112,-1.76,-0.544,2.559,2.27,2.261,0.245
"I do say in the interview that I have a lot of respect for the . No organization is perfect, or course, but the BBC overall quite good.",0,1,0,0,0.9173,0.0116,0.0711,-2.285,-0.635,0.001,0.333,-2.789,-0.36,-3.085,1.152,-2.037,-0.146,-2.746,-1.425,-3.157,-1.172
Tough sledding until spring next year is my best guess,0,1,0,0,0.1187,0.0838,0.7975,-0.31,-0.991,0.001,0.156,1.935,1.927,3.266,1.185,2.578,0.709,2.119,-0.428,3.496,0.982
Good news! AI regulation will be far more important than it may seem today.,0,1,0,0,0.9743,0.003,0.0227,2.601,2.644,0.002,0.625,1.148,-0.165,1.111,-0.455,0.966,-0.176,1.466,-0.011,1.39,-0.39
"If heath death of the Universe is how things end, it really is all about the journey",0,1,0,0,0.0388,0.4011,0.5601,-0.687,-0.002,0.0,0.361,-2.829,-0.555,-0.995,-0.684,-3.864,1.25,-9.255,3.737,-4.725,1.653
"For the next 12 months, Twitter will keep none of the money. You will receive whatever money we receive, so that’s 70% for subscriptions on iOS & Android (they charge 30%) and ~92% on web (could be better, depending on payment processor). After first year, iOS & Android fees",0,1,0,0,0.1531,0.0437,0.8032,-0.006,2.556,0.001,0.246,1.004,-0.366,-0.154,-0.349,0.234,-1.504,1.33,0.044,0.564,0.198
Legislators doing nada is often way better than the alternative,0,1,0,0,0.2517,0.2069,0.5415,-0.39,1.655,0.0,0.304,-1.211,0.45,-0.825,-0.247,-0.209,-0.213,-1.382,-0.369,-1.019,-1.749
You content is great. How many subscribers do you have?,0,1,0,0,0.9549,0.0048,0.0402,1.259,-2.21,0.0,0.315,1.807,-0.731,5.103,2.593,5.903,0.336,5.445,-0.32,4.613,-0.749
The American public certainly needs to understand and our elected representatives must consent to our involvement,0,1,0,0,0.2434,0.0537,0.703,1.661,0.305,0.001,0.458,1.09,-0.84,1.128,-0.734,1.357,-1.049,0.281,-0.138,-0.959,0.753
Exactly. Take a walk through downtown around Twitter HQ. Outrageous that city officials would claim that it is not dangerous!,0,1,0,0,0.0239,0.7739,0.2022,0.524,1.372,0.0,0.336,2.405,-0.163,2.405,-0.972,1.496,-0.608,-6.153,1.248,-9.898,-0.125
All the news that’s fit for … I forgot the last part,0,1,0,0,0.0936,0.2288,0.6776,0.762,-2.437,0.0,0.281,-0.368,-0.803,1.125,-0.756,-0.119,-0.88,0.752,-1.207,2.867,1.715
": After 30 days docked to the , the Dragon spacecraft supporting SpaceX’s 27th commercial resupply mission for …",0,0,0,1,0.1138,0.0048,0.8814,-1.869,1.643,0.0,0.148,0.557,-1.859,0.96,-0.819,0.356,-2.116,-3.47,2.437,-3.671,-1.644
"In the fairly near future, internal combustion engine vehicles will be viewed in the same way that we view external combustion engine vehicles (steam engines)!",0,1,0,0,0.1221,0.021,0.8569,-2.742,-0.739,0.002,0.255,-3.544,-0.424,-4.683,1.484,-3.684,0.074,-4.302,0.123,-3.342,0.182
Where is the manifesto? The Unabomber got his published …,0,1,0,0,0.0199,0.2973,0.6828,1.54,-1.15,0.001,0.215,3.397,1.344,4.56,1.659,3.252,0.501,2.512,-0.637,4.269,-0.49
I can’t tell satire from reality these days. Does she really own four houses?,0,1,0,0,0.0197,0.7704,0.2099,0.51,-0.647,0.001,0.312,1.76,0.87,1.838,-0.256,1.485,0.521,1.681,-0.228,2.739,1.637
"Given Federal expenditures, it is a matter of when, not if, we default",0,1,0,0,0.0514,0.1048,0.8437,-0.318,1.235,0.001,0.212,-6.209,0.395,-3.733,-0.707,-0.315,0.949,-0.413,-1.744,0.222,-1.692
: Watch Falcon 9 launch 21 Starlink satellites to orbit →,0,0,0,1,0.1129,0.0052,0.8818,-1.898,1.802,0.001,0.166,2.207,0.108,2.274,-1.795,0.675,-0.787,0.953,-1.898,4.441,6.635
: Falcon 9’s first stage has landed on the A Shortfall of Gravitas droneship,0,0,0,1,0.1343,0.0134,0.8523,-0.479,1.392,0.001,0.159,-2.455,-1.207,0.232,-0.408,-1.286,-0.322,-2.124,-0.459,-2.444,-2.597
Congrats team on an exciting test launch of Starship! Learned a lot for next test launch in a few months.,0,0,0,0,0.9893,0.0021,0.0086,0.026,-2.781,0.002,0.31,0.764,-0.574,-0.047,0.214,1.195,-0.6,0.207,-1.275,0.004,-0.244
Thank you for your kind words on behalf of the SpaceX team!,0,1,0,0,0.9813,0.0028,0.0159,0.415,1.858,0.001,0.254,1.961,-0.168,1.546,-0.06,7.86,2.847,8.713,2.912,11.205,3.432
: First fully integrated Starship lifting off for the first time!,0,0,0,1,0.4721,0.0033,0.5245,2.087,-0.211,0.001,0.173,1.045,-2.399,1.339,-1.016,0.856,-2.212,2.037,-0.851,2.662,-1.099
We’ve started a “save-a-celebrity fund” to pay their $8. We take this matter very seriously.,0,1,0,0,0.2058,0.0578,0.7363,-1.351,-1.298,0.001,0.277,0.537,-1.354,1.088,-1.367,-0.629,-1.199,-0.766,-1.392,0.266,-1.523
"Comprehensive study in Sweden shows *increased* suicide! Death for sex-reassigned persons was higher than for controls of same birth sex, particularly death from suicide. They also had increased risk for suicide attempts and psychiatric inpatient care.",0,1,0,0,0.0074,0.8564,0.1362,0.225,-2.636,0.001,0.368,-2.981,-1.207,-4.847,-0.962,-2.608,-1.491,-1.11,-1.209,-0.033,-1.386
I repeat my statement that any parents or doctors who do this should go to prison for life,0,1,0,0,0.0074,0.9262,0.0663,2.372,1.872,0.003,0.468,2.467,1.225,2.427,-0.008,2.249,-0.351,2.054,1.077,2.209,-0.801
So bizarre that people and companies don’t use money management (Treasury Bill) checking accounts and earn 4%!,0,1,0,0,0.0193,0.7732,0.2075,1.2,-0.487,0.001,0.316,-1.771,-1.477,-1.357,-1.377,-2.515,0.629,-4.831,0.833,-3.715,-0.831
"The Swedish study says “sex-reassigned transsexual persons of both genders had approximately a three times higher risk of all-cause mortality than controls”. If we take as given that the other study 2-3X suicide rate is correct, then doing surgery or chemical sterilization on",0,1,0,0,0.0086,0.648,0.3435,2.319,-0.004,0.001,0.325,0.766,-1.351,1.262,0.383,2.132,-0.928,2.494,0.287,2.423,-0.009
"If you are taught to hate yourself, you will want to be someone else",0,1,0,0,0.0093,0.8345,0.1561,2.554,-1.878,0.0,0.202,-6.708,1.925,-6.925,0.07,-5.076,-0.787,-6.506,-1.624,-6.502,-0.261
But not in the way it was done last time,0,1,0,0,0.0304,0.4312,0.5384,-0.522,0.714,0.0,0.166,-1.102,-1.314,-1.102,1.328,-3.294,0.588,0.708,2.056,6.135,6.878
"I literally see hundreds of Tweets this morning saying things like ""Thanks Tucker"" or ""Go Tucker"". Let me be clear about one thing. Tucker Carlson is an entertainer. He is an entertainer who stoops down to levels of bigotry. He is a liar who would tell people what they wanted to hear, just to get viewers and better ratings. His expertise on Fox News was kissing up to his audiences' confirmation biases and then spinning the narrative and propagating lies and conspiracy theories to entertain those biases. Check out the video below. Anyone making materially false statements on this platform will get Community Noted, including you, me, Tucker, advertisers, head of state, etc. No exceptions. Convince the people and let the chips fall where they may.",0,0,1,0,0.0219,0.7654,0.2127,2.3,-1.432,0.001,0.283,3.953,-0.575,3.865,-1.409,4.255,-0.727,5.218,-1.445,4.636,-0.145
: Falcon 9’s first stage has landed on the Of Course I Still Love You droneship,0,0,0,1,0.4823,0.007,0.5107,2.334,-0.702,0.001,0.254,4.243,5.483,6.376,5.891,4.643,1.416,4.786,0.991,5.958,-0.525
": Last night’s storm in Florida produced hail, tornadoes, and lightning. Following this strike on the tower at 39A, teams perform…",0,0,0,1,0.0121,0.6593,0.3286,1.377,-2.663,0.001,0.137,-0.212,-2.298,0.071,-2.252,-1.338,-0.068,-2.612,1.558,-2.965,-0.636
: Falcon 9 went vertical early this morning on SLC-40 ahead of today’s targeted launch of the O3b mPOWER mission…,0,0,0,1,0.3696,0.0041,0.6263,2.27,0.394,0.001,0.491,-0.467,-0.749,0.177,-0.89,1.233,0.215,2.328,1.496,2.283,0.046
: Falcon Heavy launches ’s ViaSat-3 Americas mission to orbit,0,0,0,1,0.1566,0.0087,0.8347,-1.582,2.462,0.001,0.398,0.641,0.027,4.164,2.974,4.362,0.341,4.179,0.134,4.27,-0.093
"If this keeps going, making new music will be illegal!",0,1,0,0,0.0151,0.8456,0.1392,1.905,0.421,0.0,0.219,-0.278,0.274,-1.342,-0.339,-1.765,-0.286,0.292,3.067,1.25,1.36
"Stage separation at sunset, followed by second stage engine startup, and payload fairing deploy Sunset in space",0,0,1,0,0.079,0.0169,0.904,-2.556,-2.478,0.001,0.293,-0.106,-0.516,-3.05,8.348,-5.346,2.361,-15.871,11.427,-11.641,2.3
There will always be sadness. What matters – I think – is maximizing cumulative civilizational net happiness over time.,0,1,0,0,0.2399,0.2543,0.5058,-2.224,2.202,0.004,0.708,-1.434,-0.664,-1.69,-0.314,-1.583,-0.584,-1.63,-0.518,-1.284,-0.411
"This is a massive problem. Doesn’t make sense to keep money in a <1% interest bank account instead of a 4.5% money market (Treasury Bill) account. As more people & companies realize this, bank depositor flight will accelerate to extreme levels, even for banks that are “too big",0,1,0,0,0.0111,0.7935,0.1954,-1.774,-1.027,0.001,0.387,-1.497,-0.173,-0.922,-0.543,-0.514,-0.916,1.092,-0.036,2.195,-0.398
"The Fed is making decisions using stale data. This is like driving a car while looking out the rear window – fine when the road is straight, but destined to crash when road is winding.",0,1,0,0,0.0132,0.8031,0.1837,-1.153,-1.165,0.001,0.216,-0.633,-0.439,-0.342,0.237,0.83,0.72,1.735,0.139,3.686,3.523
"The more screentime users spend looking at a post, whether text, pic or video, the more it is boosted. Video posted natively to this platform will be boosted more than an external link, because way more time is spent watching a video than clicking on a link.",0,0,0,0,0.5797,0.0184,0.4018,2.131,-0.747,0.001,0.278,0.392,-1.344,0.56,-1.678,-0.21,0.006,0.016,-2.048,0.225,-2.25
"The more screentime users spend looking at a post, whether text, pic or video, the more it is boosted. Video posted natively to this platform will be boosted more than an external link, because way more time is spent watching a video than clicking on a link.",0,0,0,0,0.5797,0.0184,0.4018,-2.665,1.371,0.001,0.446,-3.83,1.174,-2.888,-0.236,-2.259,0.904,-3.214,0.586,-3.337,0.04
"So the president of a university, which is supposed to be a bastion of freedom of expression, was almost fired for liking factually correct tweets!? That is seriously messed up. The board of trustees should hang their heads in shame and apologize!",0,1,0,0,0.0054,0.9189,0.0757,-2.559,-0.014,0.001,0.37,-1.077,0.031,-1.226,0.408,-1.047,1.04,-1.878,-0.032,-2.386,1.675
Partially visible subscriber-only posts in For You timeline will be a major driver of subscriptions,0,1,0,0,0.4934,0.01,0.4966,-2.225,2.265,0.001,0.218,-1.904,-0.601,-1.315,-1.724,-0.102,-1.657,1.285,0.346,2.133,0.56
": The idea that governments around the world have for years been secretly censoring ordinary citizens sounds crazy, but it…",0,0,0,1,0.0076,0.7666,0.2258,0.512,0.989,0.0,0.34,2.668,-0.367,4.328,-0.211,7.8,0.531,5.385,0.141,3.049,-1.041
"Strange days. Seems more likely a false flag than an actual (weak) assassination attempt, but either are possible.",0,1,0,0,0.0108,0.7737,0.2155,1.5,-0.295,0.001,0.284,-3.124,2.824,-1.708,1.665,-2.899,-0.355,-2.811,-0.217,-3.56,0.767
"Always tough with margins for new vehicle lines, especially when there are major technology shifts. I think Ford’s overall strategy with EVs is smart. The electric F-150 (Lightning) has high demand.",0,1,0,0,0.606,0.0217,0.3723,-1.846,0.345,0.002,0.278,0.14,-1.416,0.064,-0.726,-0.447,-0.249,0.064,-1.082,-0.597,-1.48
"Yes, but they are not to blame for San Francisco. Fundamentally, states and cities must occasionally vote for the other party or you have a one party system. SF is what happens when one party has control for several decades – no feedback loop for correction, because they never",0,1,0,0,0.0153,0.5805,0.4042,1.44,2.018,0.0,0.142,0.043,-2.943,-1.839,-0.197,-1.228,1.302,-1.321,-3.219,1.103,1.619
"True, electronics all want DC, not AC. So do electric cars.",0,1,0,0,0.2531,0.0507,0.6963,-0.9,-1.832,0.001,0.579,-0.545,-0.608,0.208,-0.301,-2.834,-0.223,-1.575,0.106,-2.859,-0.087
"We’re purging accounts that have had no activity at all for several years, so you will probably see follower count drop",0,0,0,0,0.0159,0.6388,0.3453,2.153,-1.551,0.001,0.258,0.579,1.718,-0.58,-0.289,0.125,0.12,0.435,-0.917,-0.657,-1.04
"In other news, large groups of American who love communism were seen rowing to Cuba …",0,1,0,0,0.0451,0.3249,0.6301,0.147,0.032,0.0,0.296,1.715,2.122,2.818,-0.302,3.102,0.87,1.918,-0.394,-0.724,0.739
"I don’t think the American public understands that people from all countries are crossing the southern border, as it is so easy to do so",0,1,0,0,0.0168,0.626,0.3572,-0.863,1.948,0.001,0.176,0.005,-0.858,-1.456,0.035,-3.812,2.194,-3.456,-1.525,-4.486,-0.414
"Any organization that puts quotas above merit, instantly devalues their awards",0,1,0,0,0.0084,0.8768,0.1148,-0.652,-1.302,0.001,0.122,-1.306,1.824,-1.306,-1.518,-1.478,6.097,-1.352,-2.083,-2.741,1.284
My earnest hope is that Americans of all political beliefs trust this platform,0,1,0,0,0.7302,0.0166,0.2533,-1.256,0.171,0.0,0.207,-1.751,0.4,-2.137,-0.973,0.041,-0.319,-0.212,-1.865,1.495,-0.588
Tesla Lithium Refinery groundbreaking will be streamed live on Twitter at 3 PM CDT Livestream starting soon,1,0,1,0,0.2085,0.0034,0.7882,-2.081,0.869,0.0,0.409,-0.089,-0.426,1.204,-0.435,2.158,0.535,1.204,0.247,0.488,-1.161
